Site,Protection,Observer,Chrysiptera unimaculata,Dascyllus trimaculatus,Plectroglyphydodon lacrymatus,Pomacentrus caeruleus,Pomacentrus pavo,Pomacentrus sulfureus,Stegastes fasciolatus
1,Protected,A,12,0,128,0,0,0,4
1,Protected,A,8,0,153,0,0,2,6
1,Protected,A,9,0,138,0,0,1,5
1,Protected,B,6,0,194,0,0,3,3
1,Protected,B,6,0,182,0,0,1,3
1,Protected,B,10,0,237,0,0,2,3
1,Protected,C,4,0,48,0,0,0,2
1,Protected,C,2,0,40,0,0,1,3
1,Protected,C,3,0,89,0,0,1,2
1,Protected,D,6,0,68,0,0,1,0
1,Protected,D,9,0,72,0,0,2,3
1,Protected,D,9,0,76,0,0,1,0
1,Protected,E,9,0,86,0,0,1,0
1,Protected,E,12,0,86,0,0,1,3
1,Protected,E,10,0,89,0,0,0,1
2,Protected,A,14,2,91,6,0,0,1
2,Protected,A,16,3,85,4,0,0,0
2,Protected,A,16,3,103,4,0,0,0
2,Protected,B,27,2,38,4,0,0,0
2,Protected,B,23,2,44,5,0,0,0
2,Protected,B,11,0,54,5,0,0,0
2,Protected,C,16,2,75,4,0,0,0
2,Protected,C,16,1,75,5,0,0,0
2,Protected,C,22,2,98,4,0,0,0
2,Protected,D,12,2,51,4,0,0,0
2,Protected,D,13,3,69,4,0,0,1
2,Protected,D,29,2,55,3,0,0,0
2,Protected,E,16,3,79,3,0,0,2
2,Protected,E,24,2,52,4,0,0,1
2,Protected,E,23,2,61,4,0,0,2
3,Protected,A,27,0,45,0,0,0,3
3,Protected,A,29,2,67,0,0,0,5
3,Protected,A,23,2,34,1,0,0,3
3,Protected,B,20,0,45,3,0,1,4
3,Protected,B,20,0,47,1,0,2,3
3,Protected,B,18,0,48,5,0,2,4
3,Protected,C,22,0,37,1,0,1,3
3,Protected,C,29,1,38,3,1,2,4
3,Protected,C,24,0,45,5,0,1,4
3,Protected,D,27,0,42,5,0,1,2
3,Protected,D,23,0,47,5,0,1,2
3,Protected,D,18,0,34,4,0,1,2
3,Protected,E,24,0,46,1,0,1,2
3,Protected,E,23,0,39,3,0,1,2
3,Protected,E,33,0,49,3,0,0,2
4,Fished,A,39,12,9,2,0,0,0
4,Fished,A,39,14,17,3,0,0,0
4,Fished,A,30,22,17,4,0,0,0
4,Fished,B,50,10,24,6,0,0,1
4,Fished,B,37,10,21,3,0,0,0
4,Fished,B,41,11,20,3,0,0,0
4,Fished,C,34,10,12,4,0,0,0
4,Fished,C,38,11,14,2,0,0,0
4,Fished,C,32,8,11,5,0,0,0
4,Fished,D,29,10,19,3,0,0,0
4,Fished,D,30,12,20,4,0,0,0
4,Fished,D,32,10,17,4,0,0,0
4,Fished,E,33,9,11,4,0,0,0
4,Fished,E,33,10,10,4,0,0,0
4,Fished,E,47,17,7,3,0,0,0
5,Fished,A,45,1,15,0,0,0,4
5,Fished,A,33,1,17,0,0,0,2
5,Fished,A,36,0,15,0,0,0,2
5,Fished,B,34,0,12,1,0,0,1
5,Fished,B,36,0,16,2,0,0,1
5,Fished,B,46,0,23,0,0,0,1
5,Fished,C,58,0,22,1,0,0,0
5,Fished,C,51,0,20,1,0,0,0
5,Fished,C,61,0,17,0,0,0,0
5,Fished,D,46,2,18,1,0,0,5
5,Fished,D,51,0,19,1,0,0,4
5,Fished,D,49,1,18,1,0,0,4
5,Fished,E,48,1,13,2,0,0,0
5,Fished,E,33,0,13,2,0,0,0
5,Fished,E,50,2,14,1,0,0,0
6,Fished,A,55,3,30,8,2,0,4
6,Fished,A,61,1,24,4,2,0,3
6,Fished,A,47,3,23,6,3,0,4
6,Fished,B,34,0,17,8,0,1,1
6,Fished,B,45,0,23,9,0,0,1
6,Fished,B,38,0,20,10,0,0,0
6,Fished,C,69,16,11,3,0,0,1
6,Fished,C,78,18,14,4,0,0,1
6,Fished,C,88,19,15,4,0,0,0
6,Fished,D,45,6,22,11,0,0,2
6,Fished,D,47,7,18,10,0,0,1
6,Fished,D,52,8,31,9,0,0,0
6,Fished,E,61,17,11,4,0,0,0
6,Fished,E,78,17,11,1,0,0,0
6,Fished,E,67,21,7,1,0,0,0
